condition_id,source,week_start,sentiment_score,sentiment_direction,post_count
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-07-08 00:00:00,-0.93685,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-07-15 00:00:00,0.48464,1,19
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-07-22 00:00:00,0.15428,1,5
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-07-29 00:00:00,0.16822,1,4
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-08-05 00:00:00,0.87548,1,4
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-08-12 00:00:00,0.95627,1,3
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-08-19 00:00:00,-0.04197,0,4
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-08-26 00:00:00,-0.08158,-1,5
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-09-02 00:00:00,-0.35915,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-09-09 00:00:00,0.8072,1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-09-23 00:00:00,0.30867,1,3
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-09-30 00:00:00,-0.32153,-1,3
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-10-07 00:00:00,-0.00215,0,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-10-14 00:00:00,0.9737,1,2
